student_id,name,age,grade,school,district,region,attendance_rate,avg_marks,prev_year_marks,marks_trend,distance_km,family_income,parents_education,family_size,health_absences,monsoon_absences,has_sibling_dropout,child_labor,early_marriage_pressure,has_transport,has_scholarship,mid_day_meal,created_at
STU0001,Kali Joshi,16,9,Govt Girls High School - Tiruchirappalli,Villupuram,Semi-Urban,68.26,41.32,32.02,Improving,5.0,Below 5000,Graduate,7,8,2,False,True,False,False,False,True,2025-07-24T15:22:13.027026
STU0002,Aishwarya Ghosh,13,6,Govt Girls High School - Tiruchirappalli,Villupuram,Rural,70.08,45.48,37.83,Improving,15.0,10000-20000,Primary,8,2,1,True,True,False,False,True,False,2026-01-06T15:22:13.027052
STU0003,Aaradhya Patel,17,10,Municipal Girls School - Madurai,Chennai,Rural,93.0,89.02,86.23,Stable,15.0,5000-10000,Graduate,7,5,2,False,False,False,True,False,False,2025-09-05T15:22:13.027065
STU0004,Aditi Sharma,14,7,Govt Model School - Thanjavur,Chennai,Urban,92.32,70.35,77.76,Declining,2.0,Above 20000,Secondary,6,0,0,False,False,False,False,True,True,2025-08-27T15:22:13.027082
STU0005,Priya Menon,11,6,Corporation School - Vellore,Salem,Semi-Urban,92.76,81.82,87.06,Declining,7.0,Below 5000,Illiterate,7,0,0,False,False,False,True,False,True,2025-12-10T15:22:13.027092
STU0006,Ananya Gupta,18,12,Zilla Parishad School - Villupuram,Thanjavur,Semi-Urban,76.02,61.39,56.93,Stable,6.0,10000-20000,Graduate,7,9,1,False,False,False,False,False,False,2025-12-25T15:22:13.027102
STU0007,Parvati Khan,17,11,Panchayat Union School - Salem,Coimbatore,Urban,88.47,76.67,78.46,Stable,3.0,10000-20000,Illiterate,6,3,2,False,False,False,True,True,False,2025-01-08T15:22:13.027113
STU0008,Meera Joshi,13,6,Municipal Girls School - Madurai,Villupuram,Rural,75.42,56.69,50.76,Improving,12.0,Above 20000,Higher Secondary,8,14,8,False,False,False,True,False,True,2025-03-13T15:22:13.027129
STU0009,Priya Chatterjee,13,7,Zilla Parishad School - Villupuram,Thanjavur,Semi-Urban,62.33,34.12,33.37,Stable,8.0,5000-10000,Illiterate,6,10,0,True,True,False,True,True,True,2025-06-20T15:22:13.027141
STU0010,Anjali Jain,13,6,Govt Girls School - Chennai (North),Tiruchirappalli,Rural,96.59,81.23,83.05,Stable,7.0,5000-10000,Illiterate,3,4,7,False,False,False,True,False,True,2025-12-19T15:22:13.027151
STU0011,Madhuri Verma,16,11,Corporation School - Vellore,Madurai,Rural,91.97,88.69,89.49,Stable,15.0,5000-10000,Primary,8,2,1,False,False,False,True,True,True,2025-05-11T15:22:13.027160
STU0012,Riya Mukherjee,19,12,Corporation School - Vellore,Thanjavur,Rural,74.06,41.97,51.37,Declining,10.0,10000-20000,Higher Secondary,3,2,9,False,False,False,False,False,True,2025-12-07T15:22:13.027170
STU0013,Jyoti Joshi,19,12,Government Higher Secondary School - Coimbatore,Tiruchirappalli,Urban,82.88,51.16,45.33,Improving,3.0,10000-20000,Secondary,8,1,3,False,False,False,False,False,False,2025-02-23T15:22:13.027179
STU0014,Pooja Desai,12,6,Municipal Girls School - Madurai,Villupuram,Semi-Urban,98.0,82.91,75.48,Improving,12.0,Above 20000,Primary,7,2,1,False,False,False,False,False,False,2025-10-25T15:22:13.027187
STU0015,Neha Joshi,13,6,Municipal Girls School - Madurai,Chennai,Rural,96.56,70.12,66.33,Stable,10.0,10000-20000,Illiterate,8,2,2,False,False,False,True,True,False,2025-03-02T15:22:13.027196
